paragraph,label
today our teams around the world infuse apples deeply held values into everything we make that work can take many forms but whether we are protecting the right to privacy designing technology that is accessible to all or using more recycled material in our products than ever we are always working to make a difference for the people we serve and the planet we inhabit,24
as a company we know that our impact on peoples lives reaches beyond the technology we create and we apply the same ethos of constant innovation and improvement to every aspect of our work from building an inclusive company culture where everyone feels welcome to becoming carbon neutral across our global supply chain and the lifetime of our products by 2030,12
at the heart of our efforts is a steadfast commitment to serving the communities we are a part of we work with teachers advocates and entrepreneurs from diverse backgrounds as part of our racial equity and justice initiative we help create opportunity in communities on the front lines of climate change through the restore fund which supports carbon removal and sustainable forestry and we provide resources and training to the next generation of innovators through the apple developer academy and educational initiatives across the globe,1
in this report we are pleased to share our progress which is a product of collaboration with committed partners worldwide at apple we believe that the only way to effectively tackle global challenges is by working together and we are grateful to share this road with so many passionate leaders,8
we are engaged in this work because it is right and because we want to leave the world better than we found it in everything we do by leading with our values we hope to be a ripple in the pond that inspires a far greater change,11
since april 2020 we have achieved carbon neutrality for our corporate emissions by sourcing 100 percent renewable electricity for apple facilities implementing energy efficiency initiatives and securing carbon offsets for remaining emissions,25
in fiscal year 2021 our environmental initiatives avoided over 23 million metric tons of emissions across all scopes and we reduced our carbon footprint by,25
40 percent compared with fiscal year 2015 efforts and initiatives that we ve been growing for years made this possible like sourcing 100 percent renewable electricity for our facilities transitioning suppliers to clean energy and using low carbon materials in products,8
as of march 2022213 suppliers have committed to renewable electricity for apple production representing the majority of apples direct supplier spend in fiscal year 2021 apple and its suppliers brought online over 10 megawatts of renewable energy in our supply chain doubling the amount from the prior year,5
since 2017 apple has achieved and maintained gender pay equity for our employees worldwide in the yous weve also achieved pay equity with respect to race and ethnicity as well as pay equity at the intersections of race and ethnicity with gender,0
in calendar year 202147of open leadership roles were filled by women globally an increase of 10 percentage points since 2020andwehavehadan87 increase in women in leadership since 2014andin2021wehired more black and hispanic latin x team members in the yous than ever before with 13 open leadership roles filled by black candidates and 12 filled by hispanic latin x candidates since 2014wehavehadan84 increase in the number of black employees and a90 increase in the number of hispanic latin x employees in leadership in the yous,15
with ios145inapril2021we released app tracking transparency for ipad and i phone requiring developers to obtain a users permission to track them across apps or web sites owned by other companies for advertising purposes,2
we hold ourselves and our suppliers to the highest standards of labor and human rights health and safety and environmental stewardship in fiscal year 2021weconducted1177 assessments including 291 smelter and refiner assessments to verify that suppliers are meeting our strict requirements,8
we continue to source primary materials responsibly 100 percent of the identified tin tungsten tantalum and gold3tg cobalt and lithium smelters and refiners in our supply chain have participated in independent third party audits to assess and identify social environmental human rights and governance risks,14
we announced our supplier employee development fund which will expand our best in class labor programs in our supply chain and establish a global education hub to scale the expansion of the technical and professional skills necessary for the jobs of today and tomorrow in our supply chain and surrounding communities,10
building on our initial 100 million commitment in 2020we announced an additional 30 million commitment in august 2021 the funding supports efforts including the global hsi equity innovation hub expanded learning opportunities for hbcus the first apple entrepreneur camp for hispanic latin x founders and developers and funding for organizations driving criminal justice reform and environmental justice and inmay2022wecommitted25 million to expand access to capital for community financial institutions supporting communities of color in historically underserved markets across the yous,8
to celebrate global accessibility awareness day2022wep reviewed upcoming software features to offer users with disabilities new tools for navigation health communication and more apples announcement included door detection a cutting edge navigation feature for users who are blind or low vision live captions for the deaf and hard of hearing community and apple watch mirroring which helps people with physical and motor disabilities control apple watch remotely from their paired i phone,15
across apple we have continued our sustained commitment to making products more inclusive for example we released new diverse voices for siri and we are taking steps to advance equity in our cameras person recognition features we have also developed human interface guidelines to support developers in building inclusive apps,0
our community education initiative continued to grow supporting and partnering with 147 education institutions and nonprofit organizations including 47hbcusinover500 different locations across 36 states in the yous and four locations across the uk since its launch in 2019,10
we launched apple learning coach a free professional learning program that trains instructional coaches digital learning specialists and other coaching educators to help teachers effectively use apple technology in the classroom,10
in2021 apples employee giving program celebrated its 10th anniversary having raised nearly 725millionfor39000 organizations worldwide with over 120 million distributed to organizations around the globe in2021 alone the funds raised through apples employee giving program include the work of 68000 employees who have logged almost,11
from our commitment to human rights to our 2030 environmental goals esg topics are deeply interconnected we can make the biggest impact only when we understand how these issues relate to one another,8
esg priorities are managed across apple and our senior leaders play an important role in integrating esg into functions across the company we listen to stakeholders including our people suppliers communities shareholders and other external groups to understand the issues they care about and we measure our esg progress across our business so that we can work toward being more transparent with each year,15
above all we are always working to leave the world better than we found it and to create powerful tools that empower others to do the same,25
we have been carbon neutral for our own operations since 2020 including business travel and employee commute and are progressing toward an urgent goal to be carbon neutral across our entire business including the full life cycle of our products by 2030 were on an ambitious journey to one day make our products using only recycled or renewable materials we design our products to be safe for anyone who assembles uses or recycles them and to be better for the environment at the same time we are partnering with communities and local leaders and working to make sure our environmental efforts are also a force for equity and justice,4
since 2018 apple sources all of the electricity for its facilities from 100 percent renewable energy the montague wind farm in oregon is one of apples largest projects at200 megawatts and powers apples prineville data center,8
at apple we work every day to put people first by empowering them with accessible technology being a force for equity and opportunity creating an inclusive and diverse work environment and respecting the human rights of everyone whose lives we touch,11
we are committed to inclusion and diversity for our team and in our world and we have programs and benefits to support the development of our team members we continue to prioritize the health and safety of our teams customers supplier employees and communities,19
we hold ourselves and our suppliers to the highest standards of labor and human rights health and safety environmental protections and ethics we are working every day to support more people in our supply chain and surrounding communities and were collaborating with others to promote best practices and scale innovative solutions,2
we are focused on infusing our values into our products engineering privacy and security into everything we make and designing our products and services to be accessible to and inclusive of the widest range of users we also find innovative ways to support peoples education health and a range of human rights topics with a specific focus on communities too often denied opportunities,18
we are accelerating social change by supporting communities and organizations that are addressing society s toughest problems including a focus on communities of color some of our key initiatives include the racial equity and justice initiative re ji community education initiative developer academies entrepreneur camp and affordable housing initiative our corporate donations support nonprofits and other organizations with which we partner and we empower employees to contribute to the causes they care about through our employee giving program,8
we embed transparency and accountability at every level of our company apples board and governance structure helps foster principled actions informed and effective decision making and appropriate monitoring of our compliance and performance we are committed to conducting business ethically honestly and in compliance with applicable laws and regulations,17
apple has over 165000 team members who work in corporate offices and apple stores around the world,15
we are committed to helping address shared global challenges that is why we engage with public policy and the legal system when we identify an opportunity to support the rights and wellbeing of our people customers communities and planet,11
apples climate policy advocacy centers on several principles each of which govern apples public policy positions on climate set strong targets based on science disclose comprehensive emissions create sector specific policies and support a green economy for all,8
in april 2021we made a public statement calling for mandatory disclosures of global greenhouse gases across all emissions scopes the statement also focused the discussion within industry and government toward greater transparency and increased attention by regulators,20
inmay2021 apple also became one of the first companies to voice support for the enactment of the clean energy standard ces that would de carbon ize the power grid by2035andatthe26thun climate change conference of the parties cop26in glasgow scotland in2021 apple called for bold government action on climate change joining several new initiatives including the first movers coalition the forest investor club and the clean energy demand initiative,10
we also advocate for country specific measures that motivate climate action for example we have called for enhanced climate ambition and renewable energy deployment in japans basic energy plan and nationally determined contribution japans plan to reduce emissions in furtherance of the paris agreement and for,3
apples vice president of environment policy and social initiatives lisa jackson alongside president joe biden and other leaders from around the world at the 2021 united nations climate change conference photo credit world economic forum,9
de carbonization policies to prioritize support for new technologies that can fully account for reducing emissions across their life cycle,9
